© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Workspace	My Projects
Project	igor_misc
Analysis	ndr_vs_wt_all - 2020-11-20 05:39 PM
Date	Fri Nov 20 08:39:11 PST 2020
Analysis ID	22292172

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse) AND
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	-0E00		5.56E-02	INPP5J	
ATM Signaling	-0E00	-0.4472135954999579	7.37E-02	CDC25A,GADD45B,JUN,MAPK13,NFKBIA,PPP2R2B,PPP2R5B	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	1.0	7.69E-02	IKBKE,JUN,NFKB2,NFKBIA	
Airway Inflammation in Asthma	-0E00		7.14E-02	CCL20,ELANE	
Aldosterone Signaling in Epithelial Cells	-0E00	-1.0	5.88E-02	AHCY,DNAJC10,DNAJC12,DUSP1,HSPA4L,HSPB8,NOTUM,PIK3R1,PIK3R5	
Allograft Rejection Signaling	-0E00		7.02E-02	CD86,FAS,FCER1G,HLA-A	
Androgen Signaling	-0E00	0.3779644730092272	8.33E-02	CACNA1B,CACNB2,CACNB4,GNA12,GNA14,GNA15,GNAT1,JUN,NFKB2,PRKAG2,PRKAR2B	
Antigen Presentation Pathway	-0E00		3.57E-02	HLA-A	
Antiproliferative Role of Somatostatin Receptor 2	-0E00	1.0	9.09E-02	GUCY2C,NPR3,PIK3R1,PIK3R5,RASD1,RRAS,SSTR2	
Antiproliferative Role of TOB in T Cell Signaling	-0E00		2.70E-02	FCER1G	
Assembly of RNA Polymerase I Complex	-0E00		9.09E-02	POLR1B	
Assembly of RNA Polymerase II Complex	-0E00		2.08E-02	TAF7	
