category	-log10(pvalue)	zscore	ratio	molecules	direction
LPS/IL-1 Mediated Inhibition of RXR Function	15.1	2.558	0.288	ABCA1, ABCC3, ABCG5, ABCG8, ACOX2, ACSL1, ACSL4, ALDH18A1, ALDH1A3, ALDH3B1, ALDH4A1, ALDH6A1, CAT, CD14, CHST11, CHST12, CHST3, CPT1B, CPT1C, CPT2, Cyp2a12/Cyp2a22, CYP2A6 (includes others), CYP2B6, CYP3A7, FABP2, FABP4, FABP7, FMO1, FMO2, Gstm3, GSTM5, GSTP1, GSTT2/GSTT2B, GSTZ1, HMGCS1, HMGCS2, IL18RAP, IL1B, IL1R2, IL1RAP, IL1RN, IL36G, JUN, LBP, MAOB, MGMT, MGST3, NGFR, PAPSS2, PLTP, PPARA, SMOX, SOD3, SREBF1, SULT1B1, SULT1C2, Sult1d1, SULT2A1, TNFRSF1A	positive
Superpathway of Cholesterol Biosynthesis	14.6	3.578	0.714	ACAT1, ACAT2, CYP51A1, DHCR24, DHCR7, FDFT1, FDPS, HMGCR, HMGCS1, HMGCS2, HSD17B7, IDI1, LSS, MSMO1, MVD, MVK, NSDHL, PMVK, SQLE, TM7SF2	positive
Granulocyte Adhesion and Diapedesis	12	0	0.297	C5AR1, Ccl2, CCL20, CCL3L3, Ccl6, Ccl7, CLDN1, CLDN12, Cldn13, CLDN15, CLDN2, CLDN23, CLDN4, CLDN7, CSF3R, CX3CL1, CXCL10, CXCL12, CXCL2, CXCL3, CXCR2, FPR2, ICAM1, IL18RAP, IL1B, IL1R2, IL1RAP, IL1RN, IL36G, ITGAM, ITGB2, MMP12, MMP15, MMP19, MMP2, MMP23B, MMP8, NGFR, SDC1, SELE, SELL, SELP, SELPLG, TNFRSF1A	no direction
LXR/RXR Activation	11.3	-1.347	0.327	A1BG, ABCA1, ABCG4, ABCG5, ABCG8, APOA4, APOF, ARG2, CD14, CLU, CYP51A1, FASN, FDFT1, HADH, HMGCR, HPX, IL18RAP, IL1B, IL1R2, IL1RAP, IL1RN, IL36G, LBP, LDLR, LYZ, NFKB2, NGFR, NOS2, PLTP, PON1, S100A8, SAA1, SERPINA1, SREBF1, TNFRSF1A, TTR	negative
Superpathway of Melatonin Degradation	9.13	-1.528	0.42	CYP1A2, CYP1B1, CYP2A6 (includes others), CYP2B6, Cyp2c40 (includes others), CYP2E1, CYP3A7, CYP4F8, CYP51A1, LARGE2, MAOB, MPO, SMOX, SULT1B1, Sult1d1, UGT2A3, UGT2B10, UGT2B17, UGT2B28, UGT2B7, UGT3A1	negative
Cholesterol Biosynthesis I	8.03	3.162	0.769	CYP51A1, DHCR24, DHCR7, FDFT1, HSD17B7, LSS, MSMO1, NSDHL, SQLE, TM7SF2	positive
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	8.03	3.162	0.769	CYP51A1, DHCR24, DHCR7, FDFT1, HSD17B7, LSS, MSMO1, NSDHL, SQLE, TM7SF2	positive
Cholesterol Biosynthesis III (via Desmosterol)	8.03	3.162	0.769	CYP51A1, DHCR24, DHCR7, FDFT1, HSD17B7, LSS, MSMO1, NSDHL, SQLE, TM7SF2	positive
Agranulocyte Adhesion and Diapedesis	7.99	0	0.241	C5AR1, Ccl2, CCL20, CCL3L3, Ccl6, Ccl7, CLDN1, CLDN12, Cldn13, CLDN15, CLDN2, CLDN23, CLDN4, CLDN7, CX3CL1, CXCL10, CXCL12, CXCL2, CXCL3, CXCR2, ICAM1, IL1B, IL1RN, IL36G, ITGA3, ITGA6, ITGB2, MMP12, MMP15, MMP19, MMP2, MMP23B, MMP8, MYH10, MYL4, SELE, SELL, SELP, SELPLG, TNFRSF1A	no direction
Xenobiotic Metabolism Signaling	7.87	0	0.205	ABCC3, AHR, ALDH18A1, ALDH1A3, ALDH3B1, ALDH4A1, ALDH6A1, CAT, CES1, Ces1e, CES3, CHST11, CHST12, CHST3, CYP1A2, CYP1B1, CYP2B6, CYP3A7, FMO1, FMO2, FTL, GCLC, Gstm3, GSTM5, GSTP1, GSTT2/GSTT2B, GSTZ1, HMOX1, IL1B, MAOB, MAP3K6, MAP3K8, MAPK13, MGMT, MGST3, NFKB2, NOS2, NQO2, PIK3R1, PIK3R5, PPP2R2B, PPP2R5B, RASD1, RRAS, SMOX, SOD3, SULT1B1, SULT1C2, Sult1d1, SULT2A1, UGT2B10, UGT2B17, UGT2B28, UGT2B7	no direction
