category	functions	disease	pvalue	state	zscore	bias_zscore	molecules	no_molecules
Inflammatory Response	inflammation	Inflammation of absolute anatomical region	3.39e-52	0	-0.967	0.1	NSDHL, NLRP12, MMP2, TNFRSF1A, FDPS, RASGRP4, SELL, SLC22A4, JAK3, ALDOA, TNFRSF9, ARRB2, SREBF2, FOS, LILRB4, LSS, HP, HCAR2, NFKBIZ, SCP2, S1PR1, PON1, HBEGF, IFI30, MME, DAPK1, LAPTM5, TNFRSF21, SERPINA3, AMPD3, MAS1, ST3GAL3, LYZ, AHR, CLU, Serpina3g (includes others), CXCR2, ADM, TNFRSF12A, BAX, IFI16, FAS, MVD, APRT, SERPINB1, ITGAM, APOA4, WNT5A, LGALS1, HMGCR, LEPR, CCL3L3, CIDEC, ELF3, TREM2, CX3CL1, TPI1, CD177, CD68, ARHGDIA, DCN, SPRR1A, LAMB2, GSDMD, TRPM4, S100A8, CD79B, EGR1, PLAT, MSMO1, Ms4a4c (includes others), LTB4R, RIPK3, CEBPB, PROCR, RORC, P2RY6, Ccl2, Cd52, TK1, Mt1, DHRS9, CD300LF, PRKAG2, CARD9, Mug1/Mug2, IL1RN, SLC33A1, RELB, CTSD, ESR1, DHCR7, INSIG1, PDCD4, EGFR, CXCL10, FPR2, ACKR4, HAVCR2, PMVK, SELP, CYBB, FOXO3, MGLL, CLEC7A, F2RL1, TNFAIP8L2, ABCB4, BCL3, LITAF, IL15RA, LAMA5, GPX4, MAPT, IL18BP, MZB1, EHD4, CASP4, RIDA, CLCN5, SPN, SGPL1, CSF2RB, ANXA5, ICOSLG/LOC102723996, ABCA1, GPNMB, LECT2, CLEC4A, Irgm1, DHCR24, TNIP1, Ly6a (includes others), ICAM1, ADA, KRT8, CX3CR1, FCGR1A, NCF1, PPARA, VSIR, FCER1G, PKM, ITGB2, TRIM58, BIRC3, ATF3, ARHGDIB, ALOX5, TRPM2, STING1, HDC, TYROBP, GHR, MS4A6A, F11, ZFP36, Igtp, FOXA2, Saa3, TLR2, LRG1, NCF4, SOX5, Cd24a, LCN2, IGF1, NFKB2, RNF186, BATF, MYLK, STAT6, Slfn1, SOAT2, STAT5B, CD53, Retnlg, JUNB, JUN, ENTPD1, MAPKAPK3, CXCL12, CLEC4E, CCR1, SOCS3, KLKB1, IL6R, LBP, CAMP, WT1, KLF4, IRAK3, VIM, TKT, AREG, AKAP12, SQLE, DUSP1, STAT5A, P2RY2, IGFBP3, CEBPE, NT5E, STEAP4, CCR2, STAT4, MBP, STIM2, NR4A1, CLEC4D, PLAUR, S100A9, BMF, GFAP, HLA-A, SLC2A4, TM7SF2, CYP51A1, RRAS, DUSP10, Ccl6, SALL4, NQO2, CCL20, SEL1L, GADD45B, NFKBIA, CMKLR1, IDI1, MVK, PLS1, C5AR1, MAP3K8, RGCC, VWF, NGF, CD86, MPEG1, Ctla2a/Ctla2b, IL18R1, BACH2, SLC2A6, EHD3, IL1B, CD14, CLEC5A, LIF, DUOXA2, SPI1, PIM1, ABCG2, FCGR2A, VNN1, CDCP1, SLC2A9, MMP8, SERPINE1, CXCL3, NLRP6, P2RX3, PGLYRP2, TNFAIP8, IKBKE, ACOD1, ANXA7, MMP12, UPP1, ACE, SELE, PIK3R1, OLFM4, SDC1, LDLR, HSD17B7, TFF3, TREM1, IL17RB, TRAF4, MIF, PNKD, HMGCS1, MPO, TNFSF14, MFGE8, FDFT1, CXCL2, HMOX1, IGFBP1, GSTZ1, MMUT, NOS2, NGFR, TNFAIP3, NLRP3, GBP6, EGR2, LGALS3, TIMP1, HPX	299
Inflammatory Response, Organismal Injury and Abnormalities	inflammation	Inflammation of organ	7.82e-52	0	-1.439	-0.372	NSDHL, NLRP12, MMP2, TNFRSF1A, FDPS, RASGRP4, SELL, SLC22A4, JAK3, ALDOA, TNFRSF9, ARRB2, SREBF2, FOS, LILRB4, LSS, HP, HCAR2, NFKBIZ, SCP2, S1PR1, PON1, HBEGF, IFI30, MME, LAPTM5, TNFRSF21, SERPINA3, AMPD3, MAS1, ST3GAL3, LYZ, AHR, CLU, Serpina3g (includes others), CXCR2, ADM, TNFRSF12A, BAX, IFI16, FAS, MVD, APRT, SERPINB1, ITGAM, APOA4, WNT5A, LGALS1, HMGCR, PGLYRP1, IFNLR1, LEPR, CCL3L3, CIDEC, ELF3, TREM2, CX3CL1, TPI1, CD177, CD68, ARHGDIA, DCN, SPRR1A, LAMB2, GSDMD, TRPM4, S100A8, CD79B, EGR1, PLAT, MSMO1, Ms4a4c (includes others), LTB4R, RIPK3, CEBPB, PROCR, RORC, Ccl2, Cd52, TK1, Mt1, DHRS9, CD300LF, PRKAG2, CARD9, Mug1/Mug2, IL1RN, SLC33A1, RELB, CTSD, PTGIR, ESR1, DHCR7, INSIG1, PDCD4, EGFR, CXCL10, FPR2, ACKR4, HAVCR2, OSMR, PMVK, SOD3, SELP, CYBB, FOXO3, MGLL, CLEC7A, F2RL1, TNFAIP8L2, ABCB4, BCL3, IL15RA, LAMA5, GPX4, MAPT, IL18BP, MZB1, EHD4, CASP4, RIDA, CLCN5, SPN, CD5L, SGPL1, CSF2RB, ANXA5, SLPI, ICOSLG/LOC102723996, ABCA1, GPNMB, LECT2, CLEC4A, Irgm1, DHCR24, TNIP1, Ly6a (includes others), ICAM1, ADA, KRT8, CX3CR1, FCGR1A, NCF1, PPARA, VSIR, FCER1G, PKM, ITGB2, TRIM58, BIRC3, ATF3, ARHGDIB, ALOX5, TRPM2, STING1, HDC, TYROBP, GHR, MS4A6A, F11, ZFP36, Igtp, FOXA2, Saa3, TLR2, LRG1, NCF4, SOX5, Cd24a, LCN2, IGF1, NFKB2, RNF186, BATF, MYLK, STAT6, Slfn1, SOAT2, STAT5B, CD53, Retnlg, JUNB, JUN, ENTPD1, MAPKAPK3, CXCL12, CLEC4E, CCR1, SOCS3, KLKB1, IL6R, LBP, CAMP, WT1, KLF4, IRAK3, VIM, TKT, AREG, AKAP12, SQLE, DUSP1, STAT5A, P2RY2, IGFBP3, CEBPE, NT5E, STEAP4, CCR2, STAT4, MBP, STIM2, NR4A1, CLEC4D, PLAUR, S100A9, BMF, GFAP, HLA-A, SLC2A4, TM7SF2, CYP51A1, RRAS, DUSP10, Ccl6, SALL4, NQO2, CCL20, SEL1L, GADD45B, NFKBIA, CMKLR1, IDI1, MVK, PLS1, C5AR1, MAP3K8, RGCC, VWF, NGF, CD86, MPEG1, Ctla2a/Ctla2b, IL18R1, BACH2, SLC2A6, EHD3, IL1B, CD14, CLEC5A, LIF, DUOXA2, SPI1, PIM1, ABCG2, FCGR2A, VNN1, CDCP1, SLC2A9, MMP8, SERPINE1, CXCL3, NLRP6, P2RX3, PGLYRP2, TNFAIP8, IKBKE, ACOD1, ANXA7, MMP12, UPP1, ACE, SELE, PIK3R1, OLFM4, SDC1, IDO2, LDLR, HSD17B7, TFF3, TREM1, CTSE, IL17RB, TRAF4, MIF, PNKD, HMGCS1, MPO, TNFSF14, MFGE8, FDFT1, CXCL2, HMOX1, IGFBP1, GSTZ1, MMUT, NOS2, NGFR, TNFAIP3, NLRP3, GBP6, EGR2, LGALS3, TIMP1, HPX	305
Inflammatory Response	inflammation	Inflammation of body cavity	1.27e-41	0	-1.016	0.26	NLRP12, MMP2, TNFRSF1A, RASGRP4, SELL, SLC22A4, JAK3, ALDOA, TNFRSF9, ARRB2, FOS, LILRB4, HP, HCAR2, NFKBIZ, SCP2, S1PR1, PON1, HBEGF, MME, LAPTM5, SERPINA3, AMPD3, ST3GAL3, LYZ, AHR, CLU, Serpina3g (includes others), CXCR2, ADM, TNFRSF12A, BAX, IFI16, FAS, APRT, SERPINB1, ITGAM, APOA4, LGALS1, WNT5A, LEPR, CCL3L3, CIDEC, ELF3, TREM2, CX3CL1, TPI1, CD177, ARHGDIA, DCN, SPRR1A, LAMB2, S100A8, CD79B, EGR1, Ms4a4c (includes others), LTB4R, RIPK3, CEBPB, RORC, Ccl2, Cd52, TK1, Mt1, DHRS9, CD300LF, CARD9, PRKAG2, Mug1/Mug2, IL1RN, SLC33A1, RELB, CTSD, ESR1, INSIG1, EGFR, CXCL10, FPR2, SELP, CYBB, FOXO3, CLEC7A, F2RL1, TNFAIP8L2, ABCB4, IL15RA, MZB1, CASP4, RIDA, CLCN5, CSF2RB, ANXA5, ICOSLG/LOC102723996, ABCA1, GPNMB, LECT2, TNIP1, Ly6a (includes others), ICAM1, ADA, KRT8, CX3CR1, FCGR1A, NCF1, PPARA, VSIR, PKM, ITGB2, TRIM58, BIRC3, ATF3, ARHGDIB, ALOX5, STING1, TYROBP, GHR, MS4A6A, F11, ZFP36, FOXA2, Igtp, Saa3, TLR2, LRG1, NCF4, Cd24a, LCN2, IGF1, NFKB2, RNF186, BATF, STAT6, Slfn1, STAT5B, CD53, Retnlg, JUNB, JUN, ENTPD1, MAPKAPK3, CXCL12, CLEC4E, CCR1, SOCS3, IL6R, LBP, CAMP, WT1, IRAK3, TKT, AREG, AKAP12, DUSP1, STAT5A, P2RY2, IGFBP3, CEBPE, NT5E, STEAP4, CCR2, STAT4, CLEC4D, PLAUR, S100A9, BMF, HLA-A, SLC2A4, DUSP10, Ccl6, NQO2, SEL1L, GADD45B, NFKBIA, CMKLR1, C5AR1, PLS1, MAP3K8, CD86, MPEG1, IL18R1, BACH2, SLC2A6, IL1B, CD14, CLEC5A, LIF, DUOXA2, SPI1, PIM1, ABCG2, FCGR2A, VNN1, SLC2A9, MMP8, SERPINE1, CXCL3, NLRP6, P2RX3, PGLYRP2, TNFAIP8, IKBKE, ACOD1, ANXA7, MMP12, ACE, SELE, PIK3R1, OLFM4, SDC1, LDLR, TFF3, TREM1, IL17RB, TRAF4, MIF, PNKD, TNFSF14, MFGE8, CXCL2, HMOX1, IGFBP1, GSTZ1, NOS2, MMUT, TNFAIP3, NLRP3, GBP6, LGALS3, TIMP1, HPX	230
Cellular Movement, Immune Cell Trafficking	migration	Leukocyte migration	1.73e-36	Increased	7.277	6.01	NLRP12, MMP2, TNFRSF1A, RASGRP4, NEDD9, SELL, JAK3, TNFRSF9, ARRB2, FOS, HSD3B7, HP, HAO1, CD9, HCAR2, NFKBIZ, S1PR1, HBEGF, LILRB3, TNFRSF21, MAS1, CTSG, LYZ, AHR, PRTN3, GSN, CXCR2, MASP2, ELANE, FAS, PLTP, CD207, SERPINB1, ITGAM, LGALS1, HPSE, PGLYRP1, LEPR, CCL3L3, TREM2, CX3CL1, GPSM3, PER1, DCN, LPAR3, GSDMD, TRPM4, S100A8, Ccl7, CES1, GGT5, LTB4R, RIPK3, PROCR, RORC, Ccl2, CD300LF, CSF3R, CARD9, SAA1, IL1RN, RELB, FUT8, ANO6, PTGIR, ESR1, EGFR, FABP4, CXCL10, FPR2, OLR1, SELP, SELPLG, PPP1R15A, MYO9B, CYBB, CLEC7A, F2RL1, TNFAIP8L2, ABCB4, MICOS10-NBL1/NBL1, BCL3, F13A1, LITAF, IL15RA, LAMA5, SPN, CD5L, SGPL1, CSF2RB, MYO1F, PDK4, TNFRSF10A, Irgm1, CYP1A2, RGS1, TNIP1, Ly6a (includes others), ICAM1, SERPING1, ADA, LOX, CX3CR1, NCF1, PPARA, PIK3R5, FGR, FCER1G, ITGB2, PLA2G7, ALOX5, TRPM2, STING1, HDC, TYROBP, FOXA2, FERMT3, TLR2, CYP1B1, NCF4, TREM3, LCN2, SAMSN1, NFKB2, BATF, MYLK, STAT6, STAT5B, Retnlg, JUN, CXCL12, CLEC4E, Orm1 (includes others), CCR1, SOCS3, IL6R, FASN, LBP, CAMP, P2RY4, S100A4, AQP3, RGS16, LCP1, CHI3L1, DUSP1, GCNT1, Pde4d, STAT5A, P2RY2, APBB1IP, IGFBP3, CEBPE, TREML2, MARCO, NT5E, CCR2, SREBF1, KLF6, PAK1, NR4A1, PLAUR, S100A9, GFAP, HLA-A, MAPK13, Ccl6, ALOX5AP, NQO2, CCL20, NFKBIA, CMKLR1, CD63, C5AR1, ADAMTS13, MAP3K8, RGCC, VWF, CD86, BACH2, IL1B, SPON2, FLNA, CD14, CLEC5A, ANXA2, SPI1, CYP26B1, FCGR2A, ANXA1, SLFN12L, MMP8, SERPINE1, CXCL3, PGLYRP2, TNFAIP8, IKBKE, FLOT1, HCK, MMP12, GNA12, SELE, PIK3R1, RAC2, OLFM4, MYO1G, SDC1, ARHGEF5, CAPG, LDLR, TREM1, CTSE, IL17RB, MIF, GDF15, ADAM8, MPO, TNFSF14, ITGA6, CXCL2, GATA1, HMOX1, CCRL2, NOS2, TNFAIP3, NLRP3, SERPINA1, MCAM, LGALS3, EGR2, TIMP1, SIGLEC9	232
Inflammatory Response	inflammatory response	Inflammatory response	6.31e-34	Increased	3.787	3.109	ADA, CX3CR1, NLRP12, GGT1, MMP2, TNFRSF1A, FCGR1A, RASGRP4, NEDD9, NCF1, SELL, PPARA, PIK3R5, VSIR, FGR, FCER1G, ITGB2, PLA2G7, ATF3, ALOX5, LILRB4, TRPM2, SNCA, STING1, HSD3B7, HP, TYROBP, ZFP36, CD9, HCAR2, NFKBIZ, TNFRSF11A, SLC11A1, TLR2, S1PR1, TREM3, LILRB3, SBNO2, MAS1, LCN2, IGF1, NFKB2, AHR, PRTN3, GSN, IL18RAP, CXCR2, NUPR1, STAT6, ELANE, STAT5B, MAOB, Retnlg, SERPINB1, CXCL12, ITGAM, Orm1 (includes others), CCR1, HPSE, SOCS3, ZBTB16, PGLYRP1, IL6R, LBP, CAMP, CCL3L3, TREM2, S100A4, IRAK3, CX3CL1, GPSM3, GCNT1, Pde4d, IER3, STAT5A, CEBPE, TREML2, MARCO, NT5E, CCR2, TRPM4, S100A8, Ccl7, STAT4, NR4A1, PLAUR, S100A9, EGR1, PLAT, DUOXA1, GGT5, LTB4R, MMP19, RIPK3, CEBPB, CSRP3, P2RY6, Ccl2, SHPK, ALOX5AP, Cd33, CSF3R, CCL20, SLC7A2, IL1RN, SLC33A1, C5AR1, ANO6, ESR1, Ctla2a/Ctla2b, PDCD4, EGFR, IL1B, SPON2, FABP4, CXCL10, CD14, FPR2, ANXA2, DUOXA2, SPI1, WFDC1, HAVCR2, CYP26B1, FCGR2A, ANXA1, VNN1, SOD3, SELP, SELPLG, MMP8, MYO9B, ABCD2, CXCL3, NLRP6, STEAP2, CYBB, FOXO3, PGLYRP2, MGLL, CLEC7A, FLOT1, ACOD1, HCK, F2RL1, FGF1, TNFAIP8L2, MICOS10-NBL1/NBL1, LITAF, ACE, SELE, PIK3R1, RAC2, SDC1, ARHGEF5, CAPG, LDLR, TREM1, MAPT, CTSE, IL17RB, MIF, CEBPD, CLCN7, ADAM8, MPO, TNFSF14, ICOSLG/LOC102723996, MYO1F, CXCL2, PDK4, HMOX1, CLEC4A, CCRL2, SMPDL3B, NOS2, TNFAIP3, RGS1, NLRP3, LGALS3, TNIP1, ICAM1, SIGLEC9, SUCNR1	184
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	cell movement	Cell movement of leukocytes	1.88e-33	Increased	6.795	5.629	NLRP12, MMP2, TNFRSF1A, RASGRP4, NEDD9, SELL, JAK3, TNFRSF9, ARRB2, FOS, HSD3B7, HP, CD9, HCAR2, NFKBIZ, S1PR1, LILRB3, TNFRSF21, MAS1, CTSG, AHR, PRTN3, GSN, CXCR2, MASP2, ELANE, FAS, PLTP, CD207, SERPINB1, ITGAM, LGALS1, HPSE, PGLYRP1, CCL3L3, TREM2, CX3CL1, GPSM3, DCN, GSDMD, TRPM4, S100A8, Ccl7, CES1, LTB4R, RIPK3, PROCR, RORC, Ccl2, CD300LF, CSF3R, SAA1, IL1RN, RELB, ANO6, PTGIR, ESR1, EGFR, FABP4, CXCL10, FPR2, SELP, SELPLG, PPP1R15A, MYO9B, CYBB, F2RL1, TNFAIP8L2, ABCB4, MICOS10-NBL1/NBL1, BCL3, LITAF, IL15RA, LAMA5, SPN, SGPL1, CSF2RB, MYO1F, PDK4, TNFRSF10A, Irgm1, RGS1, TNIP1, Ly6a (includes others), ICAM1, SERPING1, ADA, LOX, CX3CR1, NCF1, PIK3R5, FGR, FCER1G, ITGB2, PLA2G7, ALOX5, TRPM2, STING1, HDC, TYROBP, FOXA2, FERMT3, TLR2, TREM3, LCN2, SAMSN1, NFKB2, BATF, STAT6, MYLK, STAT5B, Retnlg, JUN, CXCL12, CCR1, SOCS3, IL6R, FASN, LBP, CAMP, P2RY4, S100A4, AQP3, RGS16, LCP1, DUSP1, GCNT1, Pde4d, STAT5A, APBB1IP, IGFBP3, CEBPE, TREML2, MARCO, NT5E, CCR2, SREBF1, KLF6, NR4A1, PLAUR, S100A9, GFAP, HLA-A, MAPK13, Ccl6, ALOX5AP, NQO2, CCL20, NFKBIA, CMKLR1, CD63, C5AR1, ADAMTS13, MAP3K8, RGCC, VWF, CD86, BACH2, IL1B, SPON2, FLNA, CD14, CLEC5A, ANXA2, SPI1, CYP26B1, FCGR2A, ANXA1, MMP8, SERPINE1, CXCL3, PGLYRP2, TNFAIP8, IKBKE, FLOT1, HCK, MMP12, GNA12, SELE, PIK3R1, RAC2, OLFM4, MYO1G, SDC1, ARHGEF5, CAPG, LDLR, TREM1, CTSE, IL17RB, MIF, GDF15, ADAM8, MPO, TNFSF14, ITGA6, CXCL2, GATA1, HMOX1, CCRL2, NOS2, TNFAIP3, NLRP3, SERPINA1, MCAM, LGALS3, EGR2, TIMP1	208
Hematological System Development and Function, Tissue Morphology	quantity	Quantity of myeloid cells	5.65e-30	0	-0.482	-0.482	ADA, CX3CR1, NLRP12, LGMN, TNFRSF1A, SELL, JAK3, PIK3R5, ITGB2, TNFRSF9, ADD2, F630028O10Rik, BIRC3, ATF3, ARHGDIB, ALOX5, LILRB4, CXCR6, SNCA, HDC, CD300A, SNAI2, TYROBP, GHR, F11, ZFP36, FES, TNFRSF11A, TLR2, HBEGF, LILRB3, Cd24a, Mbl1, C6, PLAC8, LCN2, NFKB2, AHR, PRTN3, CLU, GSN, CXCR2, STAT6, CFP, STAT5B, FAS, SERPINB1, ACHE, ITGAM, CLEC4E, LGALS1, CCR1, HPSE, SOCS3, PGLYRP1, ADM2, KLKB1, SLC20A1, CAMP, LEPR, CCL3L3, TREM2, IRAK3, CX3CL1, DMTN, DUSP1, GCNT1, Pde4d, STAT5A, MXD1, ARHGDIA, DCN, CEBPE, NT5E, STEAP4, KEL, CCR2, TRPM4, S100A8, SLC40A1, Ccl7, STAT4, SREBF1, NR4A1, S100A9, PLAT, DUSP5, EPB42, ACAT1, NFE2, Ccl2, STX11, Mt1, SALL4, NQO2, CSF3R, NFKBIA, SLC7A2, CMKLR1, SLC33A1, C5AR1, RELB, MAP3K8, HSD11B1, NGF, PTGIR, BACH2, CHST3, IL1B, SPON2, CXCL10, FLNA, FPR2, DYRK3, LIF, SPI1, PIM1, HAVCR2, FCGR2A, ANXA1, RBM38, SLFN12L, SELP, SELPLG, MMP8, SERPINE1, CYBB, IL36G, FOXO3, CLEC7A, CLCF1, HCK, F2RL1, ITGA3, PLSCR1, MMP12, PHOSPHO1, DDR1, BCL3, LITAF, SELE, PIK3R1, CLDN1, RAC2, SDC1, ARHGEF5, LDLR, TSC22D3, BIK, MAPT, CTSE, IL17RB, MIF, TAL1, SLC4A1, RGS18, CD5L, GDF15, RAPGEF4, ADAM8, MPO, CSF2RB, SLPI, ABCA1, CXCL2, GATA1, HMOX1, CLEC4A, EPOR, PLEK2, NOS2, NGFR, TNFAIP3, SERPINA1, LGALS3, TIMP1, Ly6a (includes others), ICAM1	178
Cellular Movement	migration	Migration of cells	1.66e-28	Increased	7.299	5.726	CELSR1, NLRP12, ERBB4, MMP2, TNFRSF1A, RASGRP4, NEDD9, SELL, JAK3, TNFRSF9, ALDOA, ARRB2, FOS, ZYX, HSD3B7, HP, Aldh1a7, SNAI2, HAO1, FES, NFKBIZ, CD9, HCAR2, S1PR1, HBEGF, LILRB3, TNFRSF21, Nrg1, SLC1A2, MAS1, CTSG, LYZ, AHR, PRTN3, BARX2, GSN, CXCR2, MASP2, ELANE, TNFRSF12A, BAX, IFI16, FAS, PLTP, CD207, SERPINB1, ITGAM, WNT5A, LGALS1, HPSE, PGLYRP1, RHOC, LEPR, CCL3L3, TREM2, EPHB1, SPRY4, CX3CL1, GREB1, BTG2, DMTN, GPSM3, PER1, DCN, LPAR3, GSDMD, RELN, TRPM4, S100A8, Ccl7, PHLDA2, MYL12A, PLAT, CES1, GGT5, LTB4R, RIPK3, PROCR, RORC, RARB, Ccl2, CD300LF, MAD2L2, CSF3R, SCAI, CARD9, LRP8, LMNA, SAA1, IL1RN, ATG3, RELB, FUT8, ANO6, PTGIR, ESR1, EGFR, FABP4, CXCL10, FPR2, TMEM30A, OLR1, Pvr, SELP, RASSF1, SELPLG, PPP1R15A, MYO9B, CYBB, CLEC7A, GLUL, F2RL1, FGF1, TNFAIP8L2, ABCB4, MICOS10-NBL1/NBL1, BCL3, F13A1, LITAF, IL15RA, LAMA5, CCN4, MAPT, Spg20, RGS18, SPN, CD5L, SGPL1, CSF2RB, SLPI, MYO1F, PDK4, TNFRSF10A, Irgm1, CYP1A2, RGS1, TNIP1, Ly6a (includes others), ICAM1, SERPING1, CARMIL1, ADA, LOX, CX3CR1, NCF1, PPARA, PIK3R5, FGR, FCER1G, PLA2G7, ITGB2, LHX6, AJUBA, ALOX5, TRPM2, STING1, HDC, TYROBP, WIF1, FOXA2, FERMT3, CYP1B1, TLR2, Saa3, MACIR, NCF4, TREM3, LCN2, IGF1, RHBDF2, SAMSN1, NFKB2, BATF, MYLK, GRHL2, STAT6, STAT5B, Retnlg, JUN, CXCL12, CLEC4E, Orm1 (includes others), SOCS3, CCR1, IL6R, FASN, LBP, P2RY4, CAMP, S100A4, KLF4, AQP3, RGS16, LCP1, VIM, CHI3L1, GCNT1, DUSP1, Pde4d, STAT5A, P2RY2, IGFBP3, APBB1IP, CEBPE, TREML2, NTRK2, MARCO, NT5E, UGDH, CCR2, MAP4K4, SREBF1, KLF6, PAK1, NR4A1, PLAUR, S100A9, CAP1, GFAP, HLA-A, PROK2, MAPK13, RRAS, Ccl6, ALOX5AP, ECSCR, NQO2, CCL20, NFKBIA, ANGPTL4, SKAP2, CMKLR1, CD63, C5AR1, ADAMTS13, ASCL1, MAP3K8, RGCC, VWF, NGF, CD86, BACH2, IL1B, SPON2, FLNA, CD14, CLEC5A, ANXA2, IGFBP5, SPI1, CYP26B1, FCGR2A, ANXA1, SLFN12L, MMP8, SERPINE1, CXCL3, PGLYRP2, THRB, ABHD2, TNFAIP8, IKBKE, TTR, FLOT1, DAB1, HCK, PEX7, ITGA3, MMP12, GNA12, DDR1, SELE, PIK3R1, RAC2, OLFM4, PLET1, MYO1G, SDC1, ARHGEF5, MRTFA, CAPG, LDLR, TREM1, CTSE, IL17RB, TRAF4, MIF, GDF15, ADAM8, MPO, TNFSF14, ITGA6, MYH10, CXCL2, GATA1, HMOX1, CCRL2, NOS2, NGFR, TNFAIP3, NLRP3, SERPINA1, EGR2, MCAM, LGALS3, TIMP1, SIGLEC9	307
Cell-To-Cell Signaling and Interaction, Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	recruitment	Recruitment of leukocytes	1.55e-27	Increased	5.634	4.449	CX3CR1, MMP2, TNFRSF1A, SELL, PIK3R5, FGR, TNFRSF9, ITGB2, ARRB2, ALOX5, FOS, TRPM2, HDC, HAO1, FOXA2, FERMT3, CYP1B1, TLR2, S1PR1, NCF4, HBEGF, CTSG, LYZ, AHR, PRTN3, GSN, CXCR2, STAT6, ELANE, FAS, JUN, ITGAM, CXCL12, CLEC4E, HPSE, LGALS1, CCR1, CCL3L3, CAMP, LEPR, S100A4, CHI3L1, GCNT1, Pde4d, STAT5A, P2RY2, TREML2, LPAR3, CCR2, S100A8, Ccl7, GGT5, LTB4R, Ccl2, Ccl6, ALOX5AP, CCL20, CARD9, NFKBIA, CMKLR1, IL1RN, C5AR1, ADAMTS13, MAP3K8, FUT8, VWF, SPON2, IL1B, CD14, CXCL10, FPR2, CLEC5A, OLR1, FCGR2A, ANXA1, SLFN12L, SELP, MYO9B, SERPINE1, CXCL3, PGLYRP2, CLEC7A, FLOT1, HCK, F2RL1, MMP12, BCL3, F13A1, SELE, PIK3R1, IL15RA, SDC1, MIF, CD5L, GDF15, SGPL1, MPO, CSF2RB, CXCL2, CCRL2, TNFRSF10A, CYP1A2, NLRP3, LGALS3, TIMP1, ICAM1, SIGLEC9	107
Cell-To-Cell Signaling and Interaction, Cellular Movement	recruitment	Recruitment of blood cells	2.62e-27	Increased	5.682	4.473	CX3CR1, MMP2, TNFRSF1A, SELL, PIK3R5, FGR, TNFRSF9, ITGB2, ARRB2, ALOX5, FOS, TRPM2, HDC, HAO1, FOXA2, FERMT3, CYP1B1, TLR2, S1PR1, NCF4, HBEGF, CTSG, LYZ, AHR, PRTN3, GSN, CXCR2, STAT6, ELANE, FAS, JUN, ITGAM, CXCL12, CLEC4E, HPSE, LGALS1, CCR1, CAMP, LEPR, CCL3L3, S100A4, CHI3L1, GCNT1, Pde4d, STAT5A, P2RY2, TREML2, LPAR3, CCR2, S100A8, Ccl7, GGT5, LTB4R, Ccl2, Ccl6, ALOX5AP, CCL20, CARD9, NFKBIA, CMKLR1, IL1RN, C5AR1, ADAMTS13, MAP3K8, CAT, FUT8, VWF, SPON2, IL1B, CD14, CXCL10, FPR2, CLEC5A, OLR1, FCGR2A, ANXA1, SLFN12L, SELP, MYO9B, SERPINE1, CXCL3, PGLYRP2, CLEC7A, FLOT1, HCK, F2RL1, MMP12, BCL3, F13A1, SELE, PIK3R1, IL15RA, SDC1, MIF, CD5L, GDF15, SGPL1, MPO, CSF2RB, CXCL2, CCRL2, TNFRSF10A, CYP1A2, NLRP3, LGALS3, TIMP1, ICAM1, SIGLEC9	108
