analysis	regulator	fc	type	state	zscore	Notes	bias	bias_zscore	pvalue	target
ndr_vs_wt_all - 2020-11-20 05:39 PM	POR	-0.029	enzyme	Inhibited	-4.401	0	-0.099	-3.777	7.6e-32	ABCA1, ABCC3, ACAT2, ACLY, Acot1, ACSL1, ADH4, AHR, Akr1c14, Aldh1a7, ANXA5, APOA4, AQP8, ASNS, BDH1, C11orf54, Ces2a, CPT2, CYP17A1, CYP1A2, CYP2A6 (includes others), CYP2B6, CYP39A1, CYP51A1, DHCR24, DHCR7, ELOVL1, ELOVL5, ELOVL6, FABP2, FDFT1, FDPS, FGF1, FGL1, FLVCR2, GADD45B, GREB1, Gstm3, GSTM5, HLA-A, HLF, HMGCR, HMGCS1, HMOX1, HSD3B1, IDI1, Ifitm1, INSIG1, JDP2, LDLR, LGALS1, LGALSL, LSS, MAP3K6, MSMO1, Mt1, MVD, MVK, NSDHL, PDK4, PGD, PLA2G7, PMVK, RAB30, Scd2, SERPINA3, Slco1a4, SQLE, SREBF2, SUSD2, TM7SF2, TMEM176A, TMEM97, UBD, UGDH, VNN1
ndr_vs_wt_all - 2020-11-20 05:39 PM	INSIG1	1.403	other	Inhibited	-5.728	bias	-0.258	-3.939	2.11e-26	AACS, ABCA1, ACACB, ACLY, ACSL4, ALOX5AP, CD68, CLEC4D, CLEC4E, CLEC7A, CXCL10, CXCL2, CXCL3, CYP51A1, DHCR24, DHCR7, ELOVL1, ELOVL6, FABP4, FASN, FDFT1, FDPS, G6PD, HMGCR, HMGCS1, HMGCS2, IDI1, LCN2, LDLR, LPIN1, LSS, MARCO, MVK, NFKBIZ, OLR1, PLA2G7, PMVK, S100A8, S100A9, Scd2, SELPLG, SQLE, SREBF1, SREBF2, STAT4, STAT5A, STEAP2, TM7SF2, VNN1
ndr_vs_wt_all - 2020-11-20 05:39 PM	GATA2	0.017	transcription regulator	Activated	3.281	0	0.216	2.224	9.25e-26	4930438A08Rik, ACHE, ALOX5, CAMP, Ccl2, CCL3L3, Ccl7, CCR2, CD177, Cd33, CEBPE, Cldn13, CLEC4E, CST7, CSTA, Csta3, CTSG, CX3CL1, CXCL10, CXCL12, CXCL2, Cym, Cyp2c40 (includes others), ELANE, F2RL2, FCRLA, GATA1, GFI1B, GP1BB, Gypa, HDC, HEMGN, HMOX1, ICAM1, ICAM4, IL3RA, ITGA2B, ITGAM, KEL, KLF1, KLF4, LCN2, LMO2, LTB4R, LTF, Ly6a (includes others), MCEMP1, MFSD2B, MPO, MS4A3, NFE2, Ngp, OLFM4, PNLIPRP1, PRTN3, RAB44, Retnlg, RGS18, RHAG, RHCE/RHD, S100A8, S100A9, S100G, SELP, SERPINA1, SERPINA6, SERPINB10, SLC35D3, SLC4A1, SPI1, SPN, Stfa1 (includes others), Stfa2/Stfa2l1, Stfa3, SUCNR1, TAL1, TMEM40, TREM3, TRIM10, TRIM58, TRPM2, TUBA8, UGT2B7, Wfdc21
ndr_vs_wt_all - 2020-11-20 05:39 PM	RORC	-0.834	ligand-dependent nuclear receptor	Activated	2	bias	0.258	1.484	4.01e-24	ABCD2, ABCG5, ACACB, ACOT2, AKR1D1, APOA4, AQP8, ASNS, B3GALT1, CCL20, CYP2A6 (includes others), Cyp2b13/Cyp2b9, CYP2B6, CYP2E1, CYP39A1, Cyp3a25 (includes others), CYP4F8, DHCR24, ELOVL6, ELOVL7, FDFT1, GADD45B, Gk, GSTP1, HMGCR, HPGD, HSD17B7, HSD3B1, IGFBP1, IL1B, Keg1, LCN2, LRTM1, MGST3, Mt1, Mup1 (includes others), NAPSA, NLRP3, NNMT, NSDHL, PPP1R3C, PROCR, RORC, S100A8, S100A9, Scd2, SLC16A10, SLC1A2, SLC25A24, SLC2A13, SLC2A3, SLC41A2, Slco1a4, SULF2, Sult1d1, SULT2A1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PPARA	-0.978	ligand-dependent nuclear receptor	0	-0.84	0	0.074	-1.51	5.02e-24	ABCA1, ABCD2, ABCD3, Acaa1b, ACAT1, ACAT2, Acot1, ACOT2, ACSL1, ADTRP, AHCY, Akr1b7, ANGPTL4, APOA4, AQP3, AQP7, AQP8, ARHGDIA, ASNS, C6, CAT, Ccl2, CEBPB, CEBPD, CES3, CIDEA, Clec2d (includes others), CPT1B, CPT2, CROT, CTSE, CXCL12, CYP2B6, Cyp2c40 (includes others), CYP51A1, DBI, DECR1, DHCR7, ELOVL5, ELOVL6, FABP2, FABP4, FASN, FBXO21, FDFT1, FDPS, FITM1, FOS, G6PD, Gk, GSTP1, GSTT2/GSTT2B, GSTZ1, HACL1, HADH, HILPDA, HMGCR, HMGCS1, HMGCS2, HPX, HSD3B1, IDI1, IL1B, KHK, KRT8, KYAT1, LECT2, LIFR, LSS, MASP2, MGLL, MGMT, MGST3, MSMO1, Mup1 (includes others), MVD, MVK, NFKBIA, NOS2, NSDHL, Orm1 (includes others), PBLD, PCTP, PDK4, PLA2G7, PLTP, PMVK, PNPLA2, PPARA, RNF186, S100A8, S100A9, SAA1, SARDH, SCP2, SERINC2, SQLE, SREBF1, SREBF2, TLR2, TMEM98, VNN1
ndr_vs_wt_all - 2020-11-20 05:39 PM	RORA	-0.015	ligand-dependent nuclear receptor	0	0.415	0	0.075	0.215	2.19e-23	ABCD2, ABCG5, ACACB, ACOT2, AKR1D1, APOA4, AQP8, ASNS, B3GALT1, Ccl2, CCL3L3, CXCL10, CXCR2, CYP2A6 (includes others), Cyp2b13/Cyp2b9, CYP2B6, CYP2E1, CYP39A1, Cyp3a25 (includes others), CYP4F8, DHCR24, ELOVL6, ELOVL7, FDFT1, GADD45B, Gk, GSTP1, HMGCR, HPGD, HSD17B7, HSD3B1, IGF1, IGFBP1, IL1B, Keg1, LCN2, LRTM1, MGST3, Mt1, Mup1 (includes others), NAPSA, NFKBIA, NNMT, NSDHL, PPP1R3C, RORC, S100A8, S100A9, Saa3, Scd2, SLC16A10, SLC1A2, SLC25A24, SLC2A13, SLC2A3, SLC41A2, Slco1a4, SULF2, Sult1d1, SULT2A1
ndr_vs_wt_all - 2020-11-20 05:39 PM	IFNG	0.056	cytokine	Activated	5.838	0	0.121	4.562	2.37e-22	ABCA1, ACOD1, Acot1, ADGRG2, AHR, ALDH1A3, AMER2, ARG2, ASNS, ATG3, BAX, BCL3, C5AR1, CASP4, Ccl2, CCL20, CCL3L3, Ccl6, Ccl7, CCR2, CCRL2, CD14, CD5L, CD68, CD86, CEBPB, CEBPD, CHST11, CHST3, CLEC4E, CLEC5A, CLEC7A, CTSD, CXCL10, CXCL12, CXCL2, CXCL3, CYBB, DAPK1, DUSP1, EGR2, F2RL1, FAS, FCER1G, FCGR2A, FGF1, FOSB, FZD1, GBP6, GFAP, GGT5, GLDN, GLUL, GNA14, GPR12, HCAR2, HCK, HTRA1, ICAM1, ICOSLG/LOC102723996, IDO2, IFI16, IGF1, Igtp, IL18BP, IL18R1, IL18RAP, IL1B, Irgm1, ITGAM, KLF1, LAMB2, LCN2, LIF, LIFR, LOX, Ly6a (includes others), LY6E, MAP3K8, MIF, MMP12, MMP2, Ms4a4c (includes others), NCALD, NFKB2, NFKBIA, NFKBIZ, NGF, NLRP3, NOS2, NTRK2, P2RY6, PIM1, PPARA, PPP1R1B, RGN, RORC, RSAD2, Saa3, SBNO2, SELP, Serpina3g (includes others), SLC16A3, SLC1A2, SLC52A2, SLC7A5, Slfn1, SLFN12L, Slfn2, SLPI, SOCS3, SOD3, SPI1, SPRR1A, SREBF1, TLR2, TNFRSF11A, TNFRSF1A, TREM1, UBD, VIPR1, ZBTB16
ndr_vs_wt_all - 2020-11-20 05:39 PM	SCAP	-0.164	other	Activated	4.208	bias	0.258	2.762	3.41e-22	AACS, ABCA1, ACACB, ACLY, ACSL1, ACSL4, ALDOC, ASNS, ATF3, CYP2B6, CYP51A1, DHCR7, ELOVL6, FASN, FDFT1, FDPS, HMGCR, HMGCS1, HMGCS2, IDI1, INSIG1, LDLR, LGALS3, LSS, MSMO1, MTHFD2, MVD, MVK, NSDHL, OLR1, PCSK9, PMVK, PON1, RDH11, Scd2, SPRR1A, SQLE, SREBF1, SREBF2, TFF3, TM7SF2, TRIB3
ndr_vs_wt_all - 2020-11-20 05:39 PM	ACOX1	-0.001	enzyme	Inhibited	-4.131	0	-0.048	-3.786	4.74e-19	ABCD3, ACOT2, ACSL1, AKR1C4, ANXA2, BAAT, CAT, CBR1, CD63, CES3, CTBS, CTSE, CXCL12, CYP1A2, Cyp2d9 (includes others), Cyp3a25 (includes others), EGFR, FABP4, FASN, GPX4, GSTP1, HSD11B1, HSD3B1, IGF1, IGFBP1, IGFBP2, IL1RAP, KLF6, KRT8, LCN2, LGALS3, MFGE8, MGLL, Mup1 (includes others), Nat8f2, NUPR1, Orm1 (includes others), PALMD, PDK4, PIPOX, PLSCR1, RGN, RGS2, Saa3, SERPINA1, SLC20A1, SLC22A25, SLCO2B1, TAGLN2, TM4SF4, TNFRSF10A, TRIB3
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL10RA	0.159	transmembrane receptor	Inhibited	-4.103	0	0.004	-4.141	3.08e-17	ACOD1, ACSL1, ACSM3, Akr1c14, ALOX5, ARG2, ARL5A, BOC, Cd24a, CD300LF, Ces2g, CLCN7, CLEC4E, CLEC5A, CSF3R, CST7, CTSE, Cyp2c40 (includes others), DCN, DRAM1, EHF, F13A1, FAM83B, GBP6, GHR, Gstm3, GSTM5, HAO2, HCAR2, HK3, HLA-A, HPGD, HPSE, IFI16, IKBKE, IL15RA, IL18BP, IL1B, IL1RN, Irgm1, LCN2, LRG1, Ly6a (includes others), MAOB, MLKL, NAMPT, Nnt, NOS2, Nrg1, OLR1, P3H2, PROCR, RGS18, RIPK3, RSAD2, S1PR1, Saa3, SELL, Serpina3g (includes others), SERPINB6, Serpinb6b, SIRPB1, SLC10A5, SLC16A3, SLC2A6, SLCO2B1, Slfn1, SULT1C2, TARM1, TLR2, TREM1, TREM3, TRPM2, TTR, UPP1, WFDC2, WWP1
